race_date,race_month,race_quarter,race_year,raceTime,circ_name,location,country,driverRef,driver_age,driver_nation,Avg_lap_time,AvgPitDurationMS,positionOrder,tot_laps,cons_name,cons_nation,Avg_stop,Accident
2017-09-03,9,3,2017,12:00:00,Autodromo Nazionale di Monza,Monza,Italy,wehrlein,22,German,89055.02,25212,16,51,Sauber,Swiss,1,0
2014-03-30,3,1,2014,08:00:00,Sepang International Circuit,Kuala Lumpur,Malaysia,chilton,22,British,111808.2,27559,15,54,Marussia,Russian,2,0
2024-05-26,5,2,2024,13:00:00,Circuit de Monaco,Monte-Carlo,Monaco,sargeant,23,American,113218.2,1207992,15,76,Williams,British,29,0
2019-10-27,10,4,2019,19:10:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,kubica,34,Polish,85073.84,23588,18,69,Williams,British,1.5,0
2021-10-24,10,4,2021,19:00:00,Circuit of the Americas,Austin,USA,mick_schumacher,22,German,105225.3,24270,16,54,Haas F1 Team,American,1.5,0
2016-06-12,6,2,2016,18:00:00,Circuit Gilles Villeneuve,Montreal,Canada,nasr,23,Brazilian,81001.34,23797.5,18,68,Sauber,Swiss,1.5,0
2021-04-18,4,2,2021,13:00:00,Autodromo Enzo e Dino Ferrari,Imola,Italy,mick_schumacher,22,German,120600.6,414042.5,16,61,Haas F1 Team,American,2.5,0
2016-05-01,5,2,2016,12:00:00,Sochi Autodrom,Sochi,Russia,wehrlein,21,German,109791.2,44292,18,51,Manor Marussia,British,1.5,0
2021-10-10,10,4,2021,12:00:00,Istanbul Park,Istanbul,Turkey,mick_schumacher,22,German,97917.66,23892,19,56,Haas F1 Team,American,1,0
2018-09-16,9,3,2018,12:10:00,Marina Bay Street Circuit,Marina Bay,Singapore,sirotkin,23,Russian,114419.3,32249.5,19,59,Williams,British,1.5,0
2018-05-13,5,2,2018,13:10:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,brendon_hartley,28,New Zealander,89842.5,22551.5,12,64,Toro Rosso,Italian,1.5,0
2016-09-18,9,3,2016,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,ocon,20,French,119383.6,50427,18,59,Manor Marussia,British,2.5,0
2019-10-13,10,4,2019,05:10:00,Suzuka Circuit,Suzuka,Japan,russell,21,British,98079.56,23792,16,50,Williams,British,1,0
2019-09-08,9,3,2019,13:10:00,Autodromo Nazionale di Monza,Monza,Italy,kubica,34,Polish,89293.8,27851,17,51,Williams,British,1.5,0
2014-09-07,9,3,2014,12:00:00,Autodromo Nazionale di Monza,Monza,Italy,gutierrez,23,Mexican,93230.82,26306,19,51,Sauber,Swiss,2,0
2021-11-07,11,4,2021,19:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,bottas,32,Finnish,86261.15,25812.5,15,69,Mercedes,German,2.5,0
2013-07-28,7,3,2013,12:00:00,Hungaroring,Budapest,Hungary,pic,23,French,91063.09,22457.5,15,68,Caterham,Malaysian,1.5,0
2016-06-12,6,2,2016,18:00:00,Circuit Gilles Villeneuve,Montreal,Canada,wehrlein,21,German,80820.23,24650,17,68,Manor Marussia,British,1.5,0
2018-10-28,10,4,2018,19:10:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,ocon,22,French,86632.2,25281,11,69,Force India,Indian,1.5,0
2018-10-28,10,4,2018,19:10:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,brendon_hartley,28,New Zealander,86657.91,22804,14,69,Toro Rosso,Italian,1.5,0
2014-07-06,7,3,2014,12:00:00,Silverstone Circuit,Silverstone,UK,chilton,23,British,178151.1,26445.5,16,50,Marussia,Russian,2.5,0
