race_date,race_month,race_quarter,race_year,raceTime,circ_name,location,country,driverRef,driver_age,driver_nation,Avg_lap_time,AvgPitDurationMS,positionOrder,tot_laps,cons_name,cons_nation,Avg_stop,Accident
2015-09-20,9,3,2015,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,hamilton,30,British,124020.3,28917,18,32,Mercedes,German,1,0
2015-10-11,10,4,2015,11:00:00,Sochi Autodrom,Sochi,Russia,rosberg,30,German,127623.3,0,18,7,Mercedes,German,,0
2023-10-22,10,4,2023,19:00:00,Circuit of the Americas,Austin,USA,piastri,22,Australian,105956.4,0,17,10,McLaren,British,,0
2020-10-11,10,4,2020,13:10:00,Nürburgring,Nürburg,Germany,albon,24,Thai,95936.3,23562,17,23,Red Bull,Austrian,1,0
2015-05-10,5,2,2015,12:00:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,alonso,33,Spanish,95999.54,23728,20,26,McLaren,British,1,0
2018-09-30,9,3,2018,11:10:00,Sochi Autodrom,Sochi,Russia,gasly,22,French,115279,0,19,4,Toro Rosso,Italian,,0
2017-07-30,7,3,2017,12:00:00,Hungaroring,Budapest,Hungary,hulkenberg,29,German,87563.98,31860,17,67,Renault,French,1,0
2015-05-24,5,2,2015,12:00:00,Circuit de Monaco,Monte-Carlo,Monaco,maldonado,30,Venezuelan,85211.8,0,20,5,Lotus F1,British,,0
2016-07-03,7,3,2016,12:00:00,Red Bull Ring,Spielberg,Austria,perez,26,Mexican,74807.52,19452.25,17,69,Force India,Indian,2.5,0
2021-12-12,12,4,2021,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,raikkonen,42,Finnish,94544.44,22338,19,25,Alfa Romeo,Swiss,1,0
2018-08-26,8,3,2018,13:10:00,Circuit de Spa-Francorchamps,Spa,Belgium,raikkonen,38,Finnish,149157.9,30909,17,8,Ferrari,Italian,1.5,0
2019-09-29,9,3,2019,11:10:00,Sochi Autodrom,Sochi,Russia,russell,21,British,108814.9,29857,17,27,Williams,British,1,0
2016-06-19,6,2,2016,13:00:00,Baku City Circuit,Baku,Azerbaijan,wehrlein,21,German,113486.3,26187,20,39,Manor Marussia,British,1,0
2017-03-26,3,1,2017,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,stroll,18,Canadian,92860.52,22336.5,16,40,Williams,British,1.5,0
2014-03-30,3,1,2014,08:00:00,Sepang International Circuit,Kuala Lumpur,Malaysia,jules_bianchi,24,French,128704,52836,20,8,Marussia,Russian,1,0
2016-10-02,10,4,2016,07:00:00,Sepang International Circuit,Kuala Lumpur,Malaysia,nasr,24,Brazilian,107996.9,24697,17,46,Sauber,Swiss,1,0
2016-07-03,7,3,2016,12:00:00,Red Bull Ring,Spielberg,Austria,hulkenberg,28,German,76007.67,21454,19,64,Force India,Indian,3,0
2015-11-01,11,4,2015,19:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,nasr,23,Brazilian,88139,23418.67,17,57,Sauber,Swiss,2,0
2019-09-29,9,3,2019,11:10:00,Sochi Autodrom,Sochi,Russia,kubica,34,Polish,110796.7,30382,16,28,Williams,British,1.5,0
2013-05-26,5,2,2013,12:00:00,Circuit de Monaco,Monte-Carlo,Monaco,jules_bianchi,23,French,114196.4,25156.5,19,58,Marussia,Russian,1.5,0
2016-09-18,9,3,2016,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,button,36,British,118901.3,33612.67,19,43,McLaren,British,2,0
2018-03-25,3,1,2018,05:10:00,Albert Park Grand Prix Circuit,Melbourne,Australia,sirotkin,22,Russian,96536.75,0,20,4,Williams,British,,0
2017-04-16,4,2,2017,15:00:00,Bahrain International Circuit,Sakhir,Bahrain,max_verstappen,19,Dutch,97499.09,25174,18,11,Red Bull,Austrian,1,0
2019-11-03,11,4,2019,19:10:00,Circuit of the Americas,Austin,USA,kevin_magnussen,27,Danish,103729.3,24830,18,52,Haas F1 Team,American,1.5,0
2024-03-24,3,1,2024,04:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,max_verstappen,26,Dutch,84890.66,0,19,3,Red Bull,Austrian,,0
2023-06-18,6,2,2023,18:00:00,Circuit Gilles Villeneuve,Montreal,Canada,russell,25,British,82788.64,88943,19,53,Mercedes,German,1,0
2018-07-08,7,3,2018,13:10:00,Silverstone Circuit,Silverstone,UK,max_verstappen,20,Dutch,102623.5,28229,15,46,Red Bull,Austrian,1.5,0
2023-03-19,3,1,2023,17:00:00,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,albon,26,Thai,104664.7,21397,19,27,Williams,British,1,0
2014-05-11,5,2,2014,12:00:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,kobayashi,27,Japanese,96934.68,22789,21,34,Caterham,Malaysian,1,0
2020-07-05,7,3,2020,13:10:00,Red Bull Ring,Spielberg,Austria,grosjean,34,French,75413.81,23280,16,49,Haas F1 Team,American,1,0
2014-06-08,6,2,2014,18:00:00,Circuit Gilles Villeneuve,Montreal,Canada,hamilton,29,British,87211.61,23985.5,17,46,Mercedes,German,1.5,0
2014-06-22,6,2,2014,12:00:00,Red Bull Ring,Spielberg,Austria,vergne,24,French,76169.19,22303,20,59,Toro Rosso,Italian,1.5,0
2020-09-13,9,3,2020,13:10:00,Autodromo Internazionale del Mugello,Mugello,Italy,ocon,23,French,134154.4,17455,14,7,Renault,French,1,0
2020-07-05,7,3,2020,13:10:00,Red Bull Ring,Spielberg,Austria,kevin_magnussen,27,Danish,71762.66,0,17,24,Haas F1 Team,American,,0
2019-10-13,10,4,2019,05:10:00,Suzuka Circuit,Suzuka,Japan,max_verstappen,22,Dutch,98430,0,18,14,Red Bull,Austrian,,0
2014-07-20,7,3,2014,12:00:00,Hockenheimring,Hockenheim,Germany,sutil,31,German,86392.11,20031,19,47,Sauber,Swiss,2,0
2019-12-01,12,4,2019,13:10:00,Yas Marina Circuit,Abu Dhabi,UAE,stroll,21,Canadian,106954,25310,20,45,Racing Point,British,1.5,0
2020-09-06,9,3,2020,13:10:00,Autodromo Nazionale di Monza,Monza,Italy,vettel,33,German,98141.66,0,20,6,Ferrari,Italian,,0
2015-10-11,10,4,2015,11:00:00,Sochi Autodrom,Sochi,Russia,sainz,21,Spanish,112569.3,30288,16,45,Toro Rosso,Italian,1,0
2019-04-28,4,2,2019,12:10:00,Baku City Circuit,Baku,Azerbaijan,grosjean,33,French,112330.3,20906,18,38,Haas F1 Team,American,1,0
2018-10-28,10,4,2018,19:10:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,perez,28,Mexican,87607.19,23755,18,38,Force India,Indian,1,0
2017-05-28,5,2,2017,12:00:00,Circuit de Monaco,Monte-Carlo,Monaco,stroll,18,Canadian,81436.82,25969,15,71,Williams,British,1.5,0
2016-07-03,7,3,2016,12:00:00,Red Bull Ring,Spielberg,Austria,massa,35,Brazilian,75713.91,19682.75,20,63,Williams,British,2.5,0
2018-09-30,9,3,2018,11:10:00,Sochi Autodrom,Sochi,Russia,brendon_hartley,28,New Zealander,125453.3,29418,20,4,Toro Rosso,Italian,1,0
2021-03-28,3,1,2021,15:00:00,Bahrain International Circuit,Sakhir,Bahrain,alonso,39,Spanish,103801.1,24574,19,32,Alpine F1 Team,French,1.5,0
2016-10-02,10,4,2016,07:00:00,Sepang International Circuit,Kuala Lumpur,Malaysia,grosjean,30,French,111418.1,0,21,7,Haas F1 Team,American,,0
2013-08-25,8,3,2013,12:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,raikkonen,33,Finnish,117073.9,23744,21,25,Lotus F1,British,1,0
2017-04-30,4,2,2017,12:00:00,Sochi Autodrom,Sochi,Russia,ricciardo,27,Australian,136684,0,17,5,Red Bull,Austrian,,0
2015-04-12,4,2,2015,06:00:00,Shanghai International Circuit,Shanghai,China,maldonado,30,Venezuelan,108579.6,21093.67,18,49,Lotus F1,British,2,0
2014-10-12,10,4,2014,11:00:00,Sochi Autodrom,Sochi,Russia,kobayashi,28,Japanese,109542.9,0,20,21,Caterham,Malaysian,,0
2017-03-26,3,1,2017,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,jolyon_palmer,26,British,96512.2,0,19,15,Renault,French,,0
2016-10-23,10,4,2016,19:00:00,Circuit of the Americas,Austin,USA,gutierrez,25,Mexican,110558.9,24470,21,16,Haas F1 Team,American,1,0
2018-05-13,5,2,2018,13:10:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,sirotkin,22,Russian,91070.02,22649.33,14,63,Williams,British,2,0
2015-05-10,5,2,2015,12:00:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,stevens,23,British,97702.3,23508.67,17,63,Manor Marussia,British,2,0
2015-07-05,7,3,2015,12:00:00,Silverstone Circuit,Silverstone,UK,merhi,24,Spanish,112180.8,32679,12,49,Manor Marussia,British,1.5,0
2021-06-27,6,2,2021,13:00:00,Red Bull Ring,Spielberg,Austria,mazepin,22,Russian,72806.16,22759,18,68,Haas F1 Team,American,1,0
2021-06-27,6,2,2021,13:00:00,Red Bull Ring,Spielberg,Austria,latifi,25,Canadian,72682.8,24186,17,68,Williams,British,1.5,0
2013-06-09,6,2,2013,18:00:00,Circuit Gilles Villeneuve,Montreal,Canada,chilton,22,British,82852.85,21374,19,67,Marussia,Russian,1,0
2021-05-23,5,2,2021,13:00:00,Circuit de Monaco,Monte-Carlo,Monaco,mazepin,22,Russian,79664.84,25202,17,75,Haas F1 Team,American,1,0
2013-06-09,6,2,2013,18:00:00,Circuit Gilles Villeneuve,Montreal,Canada,pic,23,French,82537.28,22108.5,18,67,Caterham,Malaysian,1.5,0
2015-09-06,9,3,2015,12:00:00,Autodromo Nazionale di Monza,Monza,Italy,rosberg,30,German,88872.64,24657,17,50,Mercedes,German,1,0
2019-08-04,8,3,2019,13:10:00,Hungaroring,Budapest,Hungary,kubica,34,Polish,85284.69,21754,19,67,Williams,British,1,0
2014-05-25,5,2,2014,12:00:00,Circuit de Monaco,Monte-Carlo,Monaco,chilton,23,British,88477.76,32187.67,14,75,Marussia,Russian,2,0
2019-06-30,6,2,2019,13:10:00,Red Bull Ring,Spielberg,Austria,kubica,34,Polish,72564.15,21525,20,68,Williams,British,1,0
2015-03-29,3,1,2015,07:00:00,Sepang International Circuit,Kuala Lumpur,Malaysia,merhi,24,Spanish,115179,27915.33,15,53,Manor Marussia,British,2,0
2021-09-05,9,3,2021,13:00:00,Circuit Park Zandvoort,Zandvoort,Netherlands,mick_schumacher,22,German,79249.22,30075.5,18,69,Haas F1 Team,American,1.5,0
2021-11-07,11,4,2021,19:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,mazepin,22,Russian,87741.22,24365.5,18,68,Haas F1 Team,American,1.5,0
2015-04-19,4,2,2015,15:00:00,Bahrain International Circuit,Sakhir,Bahrain,merhi,24,Spanish,106067.1,26703.5,17,54,Manor Marussia,British,1.5,0
2013-10-06,10,4,2013,06:00:00,Korean International Circuit,Yeongam County,Korea,ricciardo,24,Australian,113783.5,23543,19,52,Toro Rosso,Italian,1.5,0
2017-07-09,7,3,2017,12:00:00,Red Bull Ring,Spielberg,Austria,kvyat,23,Russian,72388.97,24006.67,16,68,Toro Rosso,Italian,2,0
2013-07-28,7,3,2013,12:00:00,Hungaroring,Budapest,Hungary,chilton,22,British,92672.76,22627,17,67,Marussia,Russian,2,0
2019-06-09,6,2,2019,18:10:00,Circuit Gilles Villeneuve,Montreal,Canada,kubica,34,Polish,80241.05,24164.5,18,67,Williams,British,1.5,0
2014-07-06,7,3,2014,12:00:00,Silverstone Circuit,Silverstone,UK,maldonado,29,Venezuelan,176703.9,28831,17,49,Lotus F1,British,1,0
2015-09-27,9,3,2015,05:00:00,Suzuka Circuit,Suzuka,Japan,stevens,24,British,106009.4,28427.33,19,50,Manor Marussia,British,2,0
2021-05-23,5,2,2021,13:00:00,Circuit de Monaco,Monte-Carlo,Monaco,mick_schumacher,22,German,79684.25,24797,18,75,Haas F1 Team,American,1,0
2018-10-28,10,4,2018,19:10:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,grosjean,32,French,86927.38,23079.5,16,68,Haas F1 Team,American,1.5,0
2019-03-17,3,1,2019,05:10:00,Albert Park Grand Prix Circuit,Melbourne,Australia,kubica,34,Polish,94167.48,25743,17,55,Williams,British,2,0
2013-07-28,7,3,2013,12:00:00,Hungaroring,Budapest,Hungary,jules_bianchi,23,French,92032.48,22470,16,67,Marussia,Russian,2,0
2015-07-05,7,3,2015,12:00:00,Silverstone Circuit,Silverstone,UK,stevens,24,British,113455.4,46412.5,13,49,Manor Marussia,British,1.5,0
2015-06-21,6,2,2015,12:00:00,Red Bull Ring,Spielberg,Austria,merhi,24,Spanish,80153.06,23926,14,68,Manor Marussia,British,1,0
2015-11-29,11,4,2015,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,merhi,24,Spanish,114454.3,24314,19,52,Manor Marussia,British,1,0
2023-10-22,10,4,2023,19:00:00,Circuit of the Americas,Austin,USA,leclerc,26,Monegasque,102607.6,23963,20,56,Ferrari,Italian,1,0
2019-10-13,10,4,2019,05:10:00,Suzuka Circuit,Suzuka,Japan,ricciardo,30,Australian,96420.74,23292,19,51,Renault,French,1,0
2018-09-02,9,3,2018,13:10:00,Autodromo Nazionale di Monza,Monza,Italy,grosjean,32,French,88128.38,24779,20,53,Haas F1 Team,American,1,0
2014-03-16,3,1,2014,06:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,ricciardo,24,Australian,98302.37,22710.5,22,57,Red Bull,Austrian,1.5,0
2021-08-01,8,3,2021,13:00:00,Hungaroring,Budapest,Hungary,vettel,34,German,106929.4,505158.3,20,70,Aston Martin,British,2,0
2023-10-22,10,4,2023,19:00:00,Circuit of the Americas,Austin,USA,hamilton,38,British,102206.9,24782,19,56,Mercedes,German,1.5,0
2018-10-21,10,4,2018,18:10:00,Circuit of the Americas,Austin,USA,kevin_magnussen,26,Danish,102844.6,23723,20,56,Haas F1 Team,American,1,0
2019-10-13,10,4,2019,05:10:00,Suzuka Circuit,Suzuka,Japan,hulkenberg,32,German,96681.96,24132,20,51,Renault,French,1,0
2018-10-21,10,4,2018,18:10:00,Circuit of the Americas,Austin,USA,ocon,22,French,102820.2,24534,19,56,Force India,Indian,1,0
2018-04-29,4,2,2018,12:10:00,Baku City Circuit,Baku,Azerbaijan,bottas,28,Finnish,122967.6,20192,14,48,Mercedes,German,1,0
2013-04-21,4,2,2013,12:00:00,Bahrain International Circuit,Sakhir,Bahrain,vergne,22,French,112151.1,41485,22,16,Toro Rosso,Italian,1,0
2018-04-08,4,2,2018,15:10:00,Bahrain International Circuit,Sakhir,Bahrain,max_verstappen,20,Dutch,136290.7,30381,19,3,Red Bull,Austrian,1,0
2020-09-13,9,3,2020,13:10:00,Autodromo Internazionale del Mugello,Mugello,Italy,stroll,21,Canadian,130779.7,493349.7,13,42,Racing Point,British,2,0
2020-11-01,11,4,2020,12:10:00,Autodromo Enzo e Dino Ferrari,Imola,Italy,max_verstappen,23,Dutch,79672.96,29427,17,50,Red Bull,Austrian,1,0
2013-10-13,10,4,2013,06:00:00,Suzuka Circuit,Suzuka,Japan,hamilton,28,British,113201.6,25297,20,7,Mercedes,German,1,0
2018-06-24,6,2,2018,14:10:00,Circuit Paul Ricard,Le Castellet,France,stroll,19,Canadian,104788.5,26576,17,48,Williams,British,1,0
2021-11-21,11,4,2021,14:00:00,Losail International Circuit,Al Daayen,Qatar,latifi,26,Canadian,91196.62,25811,19,50,Williams,British,1,0
2016-08-28,8,3,2016,12:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,sainz,21,Spanish,125072,0,20,1,Toro Rosso,Italian,,0
2017-04-09,4,2,2017,06:00:00,Shanghai International Circuit,Shanghai,China,alonso,35,Spanish,111278.3,19039.5,16,33,McLaren,British,2.5,0
2015-10-25,10,4,2015,19:00:00,Circuit of the Americas,Austin,USA,raikkonen,36,Finnish,122750.9,29640.5,16,25,Ferrari,Italian,1.5,0
2023-10-08,10,4,2023,17:00:00,Losail International Circuit,Al Daayen,Qatar,sargeant,22,American,96705.15,29404.5,18,40,Williams,British,1.5,0
2020-11-01,11,4,2020,12:10:00,Autodromo Enzo e Dino Ferrari,Imola,Italy,kevin_magnussen,28,Danish,82020.66,30708,18,47,Haas F1 Team,American,1,0
2017-03-26,3,1,2017,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,alonso,35,Spanish,91728.38,22484,14,50,McLaren,British,1,0
2022-06-12,6,2,2022,11:00:00,Baku City Circuit,Baku,Azerbaijan,stroll,23,Canadian,114298.4,22059,16,46,Aston Martin,British,1,0
2013-09-22,9,3,2013,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,grosjean,27,French,123564.9,44334.67,21,37,Lotus F1,British,2,0
2017-04-09,4,2,2017,06:00:00,Shanghai International Circuit,Shanghai,China,vandoorne,25,Belgian,126416.5,19264.5,18,17,McLaren,British,2.5,0
2018-07-01,7,3,2018,13:10:00,Red Bull Ring,Spielberg,Austria,hamilton,33,British,69929.87,21112.5,16,62,Mercedes,German,1.5,0
2020-07-05,7,3,2020,13:10:00,Red Bull Ring,Spielberg,Austria,russell,22,British,74046.55,21417,15,49,Williams,British,1,0
2022-03-20,3,1,2022,15:00:00,Bahrain International Circuit,Sakhir,Bahrain,perez,32,Mexican,102955.8,24722,18,56,Red Bull,Austrian,2,0
2022-03-20,3,1,2022,15:00:00,Bahrain International Circuit,Sakhir,Bahrain,max_verstappen,24,Dutch,103661,24745.33,19,54,Red Bull,Austrian,2,0
2020-07-05,7,3,2020,13:10:00,Red Bull Ring,Spielberg,Austria,max_verstappen,22,Dutch,76152.55,0,20,11,Red Bull,Austrian,,0
2020-08-16,8,3,2020,13:10:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,leclerc,22,Monegasque,87674.63,22274,20,38,Ferrari,Italian,1,0
2020-07-05,7,3,2020,13:10:00,Red Bull Ring,Spielberg,Austria,albon,24,Thai,77656.52,20052,13,67,Red Bull,Austrian,2,0
2014-10-05,10,4,2014,06:00:00,Suzuka Circuit,Suzuka,Japan,alonso,33,Spanish,189621.5,1137051,22,2,Ferrari,Italian,1,0
2022-03-27,3,1,2022,17:00:00,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,alonso,40,Spanish,103330,21543,16,35,Alpine F1 Team,French,1,0
2017-03-26,3,1,2017,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,grosjean,30,French,91334.08,0,20,13,Haas F1 Team,American,,0
2022-11-20,11,4,2022,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,alonso,41,Spanish,93094.63,21740,20,27,Alpine F1 Team,French,1,0
2014-07-20,7,3,2014,12:00:00,Hockenheimring,Hockenheim,Germany,grosjean,28,French,88442.04,18928,21,26,Lotus F1,British,1,0
2022-05-08,5,2,2022,19:30:00,Miami International Autodrome,Miami,USA,zhou,22,Chinese,102172.2,0,20,6,Alfa Romeo,Swiss,,0
2023-10-22,10,4,2023,19:00:00,Circuit of the Americas,Austin,USA,alonso,42,Spanish,103637.3,24939,16,49,Aston Martin,British,1.5,0
2022-07-10,7,3,2022,13:00:00,Red Bull Ring,Spielberg,Austria,latifi,27,Canadian,73472.96,21464,19,48,Williams,British,1.5,0
2023-08-27,8,3,2023,13:00:00,Circuit Park Zandvoort,Zandvoort,Netherlands,leclerc,25,Monegasque,87349.88,29944,19,41,Ferrari,Italian,1.5,0
2022-07-24,7,3,2022,13:00:00,Circuit Paul Ricard,Le Castellet,France,tsunoda,22,Japanese,104395.7,37648,20,17,AlphaTauri,Italian,1,0
2022-07-24,7,3,2022,13:00:00,Circuit Paul Ricard,Le Castellet,France,zhou,23,Chinese,104490.7,43617,16,47,Alfa Romeo,Swiss,1.5,0
2015-09-06,9,3,2015,12:00:00,Autodromo Nazionale di Monza,Monza,Italy,alonso,34,Spanish,92344.85,21852,18,47,McLaren,British,1.5,0
2024-06-09,6,2,2024,18:00:00,Circuit Gilles Villeneuve,Montreal,Canada,albon,28,Thai,92096.92,24778.5,17,52,Williams,British,1.5,1
2023-04-02,4,2,2023,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,gasly,27,French,125060.8,901103,13,56,Alpine F1 Team,French,1.5,1
2021-06-27,6,2,2021,13:00:00,Red Bull Ring,Spielberg,Austria,gasly,25,French,123661,0,20,1,AlphaTauri,Italian,,1
2017-10-22,10,4,2017,19:00:00,Circuit of the Americas,Austin,USA,wehrlein,23,German,114599.6,31334,19,5,Sauber,Swiss,1,1
2016-11-13,11,4,2016,16:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,raikkonen,37,Finnish,112979.6,0,20,19,Ferrari,Italian,,1
2018-07-08,7,3,2018,13:10:00,Silverstone Circuit,Silverstone,UK,grosjean,32,French,100463.8,29254,16,37,Haas F1 Team,American,1,1
2018-07-08,7,3,2018,13:10:00,Silverstone Circuit,Silverstone,UK,sainz,23,Spanish,100469,28576,17,37,Renault,French,1.5,1
2018-04-29,4,2,2018,12:10:00,Baku City Circuit,Baku,Azerbaijan,ricciardo,28,Australian,115826.4,19925,17,39,Red Bull,Austrian,1,1
2021-12-05,12,4,2021,17:30:00,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,mazepin,22,Russian,194647.7,1019226,18,14,Haas F1 Team,American,1,1
2021-07-04,7,3,2021,13:00:00,Red Bull Ring,Spielberg,Austria,vettel,34,German,72204.16,20963.5,17,69,Aston Martin,British,1.5,1
2021-12-05,12,4,2021,17:30:00,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,perez,31,Mexican,193029.2,511664.5,17,14,Red Bull,Austrian,1.5,1
2013-10-06,10,4,2013,06:00:00,Korean International Circuit,Yeongam County,Korea,sutil,30,German,115457.9,35852,20,50,Force India,Indian,2.5,1
2019-04-28,4,2,2019,12:10:00,Baku City Circuit,Baku,Azerbaijan,ricciardo,29,Australian,112232.4,20884,20,31,Renault,French,1,1
2019-07-14,7,3,2019,13:10:00,Silverstone Circuit,Silverstone,UK,kevin_magnussen,26,Danish,112916.3,32767,20,6,Haas F1 Team,American,1,1
2013-04-14,4,2,2013,07:00:00,Shanghai International Circuit,Shanghai,China,gutierrez,21,Mexican,106847.5,0,22,4,Sauber,Swiss,,1
2014-04-06,4,2,2014,15:00:00,Bahrain International Circuit,Sakhir,Bahrain,gutierrez,22,Mexican,104071.8,25588,19,39,Sauber,Swiss,1.5,1
2016-11-13,11,4,2016,16:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,massa,35,Brazilian,183792,888693.5,18,46,Williams,British,2.5,1
2019-07-14,7,3,2019,13:10:00,Silverstone Circuit,Silverstone,UK,grosjean,33,French,103075.7,33562,19,9,Haas F1 Team,American,1,1
2018-05-27,5,2,2018,13:10:00,Circuit de Monaco,Monte-Carlo,Monaco,brendon_hartley,28,New Zealander,79637.27,24326,19,70,Toro Rosso,Italian,1,1
2020-09-13,9,3,2020,13:10:00,Autodromo Internazionale del Mugello,Mugello,Italy,giovinazzi,26,Italian,135709.2,0,17,5,Alfa Romeo,Swiss,,1
2021-09-12,9,3,2021,13:00:00,Autodromo Nazionale di Monza,Monza,Italy,hamilton,36,British,87689.4,25619,17,25,Mercedes,German,1,1
2013-05-26,5,2,2013,12:00:00,Circuit de Monaco,Monte-Carlo,Monaco,grosjean,27,French,111510.1,32272.5,17,63,Lotus F1,British,1.5,1
2019-04-28,4,2,2019,12:10:00,Baku City Circuit,Baku,Azerbaijan,kvyat,25,Russian,111864.7,21013,19,33,Toro Rosso,Italian,1,1
2019-04-14,4,2,2019,06:10:00,Shanghai International Circuit,Shanghai,China,kvyat,24,Russian,103006.7,28837.67,19,41,Toro Rosso,Italian,2,1
2021-08-01,8,3,2021,13:00:00,Hungaroring,Budapest,Hungary,norris,21,British,164579,38267,15,2,McLaren,British,1,1
2018-04-29,4,2,2018,12:10:00,Baku City Circuit,Baku,Azerbaijan,max_verstappen,20,Dutch,115820.4,19765,16,39,Red Bull,Austrian,1,1
2023-04-02,4,2,2023,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,de_vries,28,Dutch,125102,438992.8,15,56,AlphaTauri,Italian,2.5,1
2020-09-13,9,3,2020,13:10:00,Autodromo Internazionale del Mugello,Mugello,Italy,latifi,25,Canadian,134828.5,0,15,6,Williams,British,,1
2021-12-05,12,4,2021,17:30:00,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,russell,23,British,194902.9,521067,19,14,Williams,British,1.5,1
2013-08-25,8,3,2013,12:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,resta,27,British,117702.4,23507.5,20,26,Force India,Indian,1.5,1
2020-08-02,8,3,2020,13:10:00,Silverstone Circuit,Silverstone,UK,kevin_magnussen,27,Danish,103754,0,19,1,Haas F1 Team,American,,1
2015-11-01,11,4,2015,19:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,raikkonen,36,Finnish,86311.71,0,19,21,Ferrari,Italian,,1
2019-09-29,9,3,2019,11:10:00,Sochi Autodrom,Sochi,Russia,ricciardo,30,Australian,109232,36031,19,24,Renault,French,1,1
2021-04-18,4,2,2021,13:00:00,Autodromo Enzo e Dino Ferrari,Imola,Italy,russell,23,British,101981.6,29983,19,30,Williams,British,1,1
2018-10-21,10,4,2018,18:10:00,Circuit of the Americas,Austin,USA,alonso,37,Spanish,133811,0,18,1,McLaren,British,,1
2023-04-02,4,2,2023,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,sargeant,22,American,125105.9,300132.8,16,56,Williams,British,3.5,1
2013-05-26,5,2,2013,12:00:00,Circuit de Monaco,Monte-Carlo,Monaco,ricciardo,23,Australian,111131.7,25225,18,61,Toro Rosso,Italian,1,1
2015-10-11,10,4,2015,11:00:00,Sochi Autodrom,Sochi,Russia,bottas,26,Finnish,110646.2,30316,12,52,Williams,British,1,1
2014-06-08,6,2,2014,18:00:00,Circuit Gilles Villeneuve,Montreal,Canada,perez,24,Mexican,84922.68,23907,11,69,Force India,Indian,1,1
2020-09-13,9,3,2020,13:10:00,Autodromo Internazionale del Mugello,Mugello,Italy,sainz,26,Spanish,135890.8,0,18,5,McLaren,British,,1
2019-09-22,9,3,2019,12:10:00,Marina Bay Street Circuit,Marina Bay,Singapore,raikkonen,39,Finnish,117994.1,29992,18,49,Alfa Romeo,Swiss,1,1
2017-05-14,5,2,2017,12:00:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,vandoorne,25,Belgian,90436.81,22547,18,32,McLaren,British,1,1
2022-05-08,5,2,2022,19:30:00,Miami International Autodrome,Miami,USA,vettel,34,German,100720.7,19861,17,54,Aston Martin,British,1,1
2016-05-29,5,2,2016,12:00:00,Circuit de Monaco,Monte-Carlo,Monaco,ericsson,25,Swedish,101983.2,28984.33,16,51,Sauber,Swiss,2,1
2017-05-28,5,2,2017,12:00:00,Circuit de Monaco,Monte-Carlo,Monaco,wehrlein,22,German,79855.16,25813,19,57,Sauber,Swiss,1,1
2015-09-20,9,3,2015,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,hulkenberg,28,German,116952.3,30868,20,12,Force India,Indian,1,1
2022-10-23,10,4,2022,19:00:00,Circuit of the Americas,Austin,USA,stroll,23,Canadian,112625.3,25417,18,21,Aston Martin,British,1,1
2022-05-08,5,2,2022,19:30:00,Miami International Autodrome,Miami,USA,norris,22,British,96139.54,19986,19,39,McLaren,British,1,1
2016-03-20,3,1,2016,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,alonso,34,Spanish,96207.75,21796,21,16,McLaren,British,1,1
2019-09-22,9,3,2019,12:10:00,Marina Bay Street Circuit,Marina Bay,Singapore,russell,21,British,111061.8,38752,20,34,Williams,British,1,1
