race_date,race_month,race_quarter,race_year,raceTime,circ_name,location,country,driverRef,AvgPitDurationMS,Avg_stop,positionOrder,lap_limit,diff_lap
2024-09-01,9,3,2024,13:00:00,Autodromo Nazionale di Monza,Monza,Italy,piastri,27966,1.5,2,53,2
2024-11-03,11,4,2024,17:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,gasly,80485.4860026042,2,3,71,0.5
2024-09-01,9,3,2024,13:00:00,Autodromo Nazionale di Monza,Monza,Italy,tsunoda,23956.5,1.5,20,53,1
2024-09-22,9,3,2024,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,sainz,30003.6905691964,1.71428571428571,7,61,0.857142857142857
2024-09-01,9,3,2024,13:00:00,Autodromo Nazionale di Monza,Monza,Italy,max_verstappen,109570.129557292,1.38888888888889,6,53,6.11111111111111
2024-10-27,10,4,2024,20:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,perez,23084.7857142857,1.07142857142857,17,71,13
2024-07-28,7,3,2024,13:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,gasly,23072.2,1.2,13,44,7.16666666666667
2024-07-07,7,3,2024,14:00:00,Silverstone Circuit,Silverstone,UK,zhou,30306,2.5,14,52,0
2024-11-23,11,4,2024,06:00:00,Las Vegas Strip Street Circuit,Las Vegas,United States,sainz,21945.5,1.5,3,50,0
2024-10-20,10,4,2024,19:00:00,Circuit of the Americas,Austin,USA,alonso,25395.2222222222,1.44444444444444,13,56,11.2222222222222
2024-11-03,11,4,2024,17:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,bottas,155991.825,1.9,13,71,8
2024-11-03,11,4,2024,17:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,max_verstappen,152402.301025391,2.25,1,71,0.125
2024-07-21,7,3,2024,13:00:00,Hungaroring,Budapest,Hungary,max_verstappen,59112.82421875,1.8125,3,69,6.33333333333333
2024-09-01,9,3,2024,13:00:00,Autodromo Nazionale di Monza,Monza,Italy,norris,174253.1,1.2,3,53,0.6
2024-07-28,7,3,2024,13:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,norris,23476,1.25,5,44,8.8
2024-07-28,7,3,2024,13:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,perez,52417.9857954545,1.54545454545455,7,44,4.18181818181818
2024-10-27,10,4,2024,20:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,piastri,621399,1.5,8,71,0
2024-11-23,11,4,2024,06:00:00,Las Vegas Strip Street Circuit,Las Vegas,United States,perez,27583.5,1.5,10,50,0
2024-07-28,7,3,2024,13:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,albon,23291.2915039063,1.375,12,44,0
2024-11-03,11,4,2024,17:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,ocon,424487.604296875,1.9,2,71,0.6
2024-10-27,10,4,2024,20:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,ocon,223925.166666667,1.08333333333333,13,71,1.16666666666667
2024-12-01,12,4,2024,17:00:00,Losail International Circuit,Al Daayen,Qatar,leclerc,26835.1669921875,1.5,2,57,0
2024-10-27,10,4,2024,20:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,zhou,325198,1.25,15,71,0.5
2024-07-21,7,3,2024,13:00:00,Hungaroring,Budapest,Hungary,ricciardo,62240.9360351563,1.70833333333333,9,69,-0.3
2024-07-07,7,3,2024,14:00:00,Silverstone Circuit,Silverstone,UK,albon,32076,1.5,9,52,0
2024-12-01,12,4,2024,17:00:00,Losail International Circuit,Al Daayen,Qatar,zhou,28884.333984375,2,8,57,0
2024-07-07,7,3,2024,14:00:00,Silverstone Circuit,Silverstone,UK,norris,29524,1.5,3,52,0
2024-07-21,7,3,2024,13:00:00,Hungaroring,Budapest,Hungary,tsunoda,183659.614583333,1.83333333333333,10,69,0
2024-08-25,8,3,2024,13:00:00,Circuit Park Zandvoort,Zandvoort,Netherlands,piastri,506716.1875,3,4,72,0
2024-07-07,7,3,2024,14:00:00,Silverstone Circuit,Silverstone,UK,hamilton,29483.5,1.5,2,52,8.33333333333333e-02
2024-08-25,8,3,2024,13:00:00,Circuit Park Zandvoort,Zandvoort,Netherlands,tsunoda,184808.309244792,2,17,72,17.6666666666667
