race_date,race_month,race_quarter,race_year,raceTime,circ_name,location,country,driverRef,AvgPitDurationMS,Avg_stop,positionOrder,lap_limit,diff_lap
2024-07-28,7,3,2024,13:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,tsunoda,24913.75,1.5,16,44,14.3333333333333
2024-11-03,11,4,2024,17:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,sainz,318340.583426339,1.92857142857143,16,71,0.285714285714286
2024-07-21,7,3,2024,13:00:00,Hungaroring,Budapest,Hungary,hulkenberg,23178.3517795139,1.38888888888889,11,69,10.375
2024-07-21,7,3,2024,13:00:00,Hungaroring,Budapest,Hungary,perez,22562.8125,1.54166666666667,16,69,6
2024-12-01,12,4,2024,17:00:00,Losail International Circuit,Al Daayen,Qatar,tsunoda,26947.5830078125,1.75,13,57,1
2024-09-22,9,3,2024,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,kevin_magnussen,30602.380859375,2,19,61,2.14285714285714
2024-08-25,8,3,2024,13:00:00,Circuit Park Zandvoort,Zandvoort,Netherlands,sargeant,157256.304412059,2.22115384615385,16,72,58
2024-08-25,8,3,2024,13:00:00,Circuit Park Zandvoort,Zandvoort,Netherlands,gasly,181355.635416667,2.16666666666667,9,72,0.333333333333333
2024-10-20,10,4,2024,19:00:00,Circuit of the Americas,Austin,USA,max_verstappen,25278.8125,1.4375,3,56,3.5
2024-12-01,12,4,2024,17:00:00,Losail International Circuit,Al Daayen,Qatar,piastri,28077.333984375,2,3,57,0
2024-11-23,11,4,2024,06:00:00,Las Vegas Strip Street Circuit,Las Vegas,United States,norris,23268.7631578947,1.31578947368421,6,50,48
2024-11-23,11,4,2024,06:00:00,Las Vegas Strip Street Circuit,Las Vegas,United States,zhou,22155,1,13,50,0
2024-07-21,7,3,2024,13:00:00,Hungaroring,Budapest,Hungary,kevin_magnussen,23191.7082519531,1.3125,15,69,-0.125
2024-09-01,9,3,2024,13:00:00,Autodromo Nazionale di Monza,Monza,Italy,sainz,108554.777777778,1.22222222222222,4,53,3.44444444444444
2024-10-27,10,4,2024,20:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,bottas,98549.3957519531,1.4375,14,71,0.5
2024-07-07,7,3,2024,14:00:00,Silverstone Circuit,Silverstone,UK,perez,29718.75,2.5,19,52,1.2
2024-09-22,9,3,2024,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,zhou,30334.5,1.5,15,61,27
2024-09-22,9,3,2024,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,hamilton,30337.1122159091,1.63636363636364,6,61,3.77777777777778
2024-09-22,9,3,2024,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,piastri,29369,1,3,61,-1
2024-09-01,9,3,2024,13:00:00,Autodromo Nazionale di Monza,Monza,Italy,alonso,23740.2222222222,1.22222222222222,11,53,11.4444444444444
2024-07-21,7,3,2024,13:00:00,Hungaroring,Budapest,Hungary,gasly,94636.6,1.4,20,69,20
2024-12-08,12,4,2024,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,max_verstappen,21547.5740017361,1.27777777777778,6,55,-0.888888888888889
2024-09-15,9,3,2024,11:00:00,Baku City Circuit,Baku,Azerbaijan,ricciardo,184837.125,1.5,13,51,5.33333333333333
2024-10-27,10,4,2024,20:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,stroll,123791.666666667,1.33333333333333,11,71,2
2024-11-03,11,4,2024,17:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,russell,109319.583496094,2.125,4,71,3.75
2024-08-25,8,3,2024,13:00:00,Circuit Park Zandvoort,Zandvoort,Netherlands,russell,137688.114583333,2.5,7,72,1
2024-12-08,12,4,2024,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,hamilton,21520.2916666667,1.25,4,55,-0.545454545454545
2024-07-28,7,3,2024,13:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,alonso,84366.4375,1.5,8,44,8
2024-07-21,7,3,2024,13:00:00,Hungaroring,Budapest,Hungary,hamilton,49027.7306189904,1.88461538461538,5,69,-0.909090909090909
2024-07-21,7,3,2024,13:00:00,Hungaroring,Budapest,Hungary,alonso,65577.9676846591,1.68181818181818,7,69,-0.555555555555556
2024-10-27,10,4,2024,20:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,kevin_magnussen,22945.4166666667,1.08333333333333,7,71,7.83333333333333
2024-09-15,9,3,2024,11:00:00,Baku City Circuit,Baku,Azerbaijan,stroll,107806.43125,1.3,19,51,4.5
2024-12-08,12,4,2024,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,piastri,21426.5,1.5,10,55,-3
2024-11-03,11,4,2024,17:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,piastri,417342.5,2.5,8,71,2
2024-11-23,11,4,2024,06:00:00,Las Vegas Strip Street Circuit,Las Vegas,United States,leclerc,22559,1,4,50,0
2024-12-01,12,4,2024,17:00:00,Losail International Circuit,Al Daayen,Qatar,bottas,32888.8330078125,1.5,11,57,4.5
2024-11-03,11,4,2024,17:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,stroll,80450.072265625,2,19,71,5.66666666666667
2024-09-15,9,3,2024,11:00:00,Baku City Circuit,Baku,Azerbaijan,sainz,202838.473958333,1.5,18,51,9
2024-07-07,7,3,2024,14:00:00,Silverstone Circuit,Silverstone,UK,ocon,28786.5,2.5,18,52,8.57142857142857
